WAVE,DAY,MONTH,YEAR,TIME,TELESCOPE,FREQ,FLUX,ERROR,PI
1mm,6,Jan,2010,15:10,SMA,224.78,8.04,0.403,awehrle
1mm,7,Jan,2010,18:26,SMA,225.52,8.425,0.427,mgurwell
1mm,8,Jan,2010,20:13,SMA,225.52,8.497,0.438,mgurwell
1mm,12,Jan,2010,17:59,SMA,225.47,8.333,0.418,mgurwell
1mm,14,Jan,2010,15:20,SMA,262.53,7.258,0.753,mgurwell
1mm,30,Jan,2010,13:54,SMA,225.03,8.721,0.437,awehrle
1mm,4,Feb,2010,14:13,SMA,224.8,8.659,0.435,awehrle
1mm,5,Feb,2010,13:42,SMA,225.52,8.837,0.444,mgurwell
1mm,5,Feb,2010,18:07,SMA,225.52,9.394,0.473,mgurwell
1mm,6,Feb,2010,16:21,SMA,225.6,8.751,0.44,mgurwell
1mm,14,Feb,2010,14:41,SMA,224.61,8.732,0.438,awehrle
1mm,20,Feb,2010,15:27,SMA,230.57,9.868,0.494,awehrle
1mm,8,Mar,2010,09:43,SMA,225.52,10.123,0.514,awehrle
1mm,9,Mar,2010,09:41,SMA,225.46,10.347,0.626,awehrle
1mm,16,Mar,2010,14:28,SMA,225.5,10.008,0.505,mgurwell
1mm,18,Mar,2010,11:37,SMA,224.75,10.555,0.531,awehrle
1mm,19,Mar,2010,11:35,SMA,224.77,10.899,0.548,awehrle
1mm,25,Mar,2010,10:28,SMA,224.78,10.465,0.524,mgurwell
1mm,26,Mar,2010,11:05,SMA,224.75,10.413,0.522,awehrle
1mm,27,Mar,2010,11:11,SMA,224.99,9.968,0.499,mgurwell
1mm,31,Mar,2010,07:33,SMA,224.78,9.693,0.508,awehrle
1mm,2,Apr,2010,13:15,SMA,224.82,9.47,0.476,mgurwell
1mm,3,Apr,2010,10:09,SMA,224.85,9.753,0.49,mgurwell
1mm,4,Apr,2010,10:07,SMA,224.85,9.983,0.501,mgurwell
1mm,11,Apr,2010,10:40,SMA,224.54,10.37,0.521,mgurwell
1mm,12,Apr,2010,05:53,SMA,225.74,10.502,0.527,mgurwell
1mm,26,Apr,2010,06:26,SMA,222.67,10.247,0.513,awehrle
1mm,26,Apr,2010,07:15,SMA,222.67,10.118,0.508,awehrle
1mm,3,May,2010,06:39,SMA,225.11,9.217,0.469,awehrle
1mm,15,May,2010,05:07,SMA,215.14,9.161,0.458,mgurwell
1mm,15,May,2010,06:25,SMA,215.14,8.746,0.437,mgurwell
1mm,17,May,2010,07:32,SMA,225.27,8.856,0.443,mgurwell
1mm,19,May,2010,04:01,SMA,275.06,7.88,0.395,mgurwell
1mm,27,May,2010,09:23,SMA,225.56,8.722,0.437,mgurwell
1mm,5,Jun,2010,05:56,SMA,224.84,8.506,0.426,awehrle
1mm,5,Jun,2010,06:07,SMA,224.84,8.428,0.422,awehrle
1mm,7,Jun,2010,06:03,SMA,226.02,8.792,0.443,mgurwell
1mm,8,Jun,2010,03:58,SMA,225.18,8.739,0.474,awehrle
1mm,15,Jun,2010,05:13,SMA,224.75,8.955,0.501,awehrle
1mm,18,Jun,2010,04:04,SMA,224.83,9.78,0.49,mgurwell
